formula,solver,runtime,conflicts
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_15.cnf,wrapper-luby.sh,0.002345,1
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_4.cnf,wrapper-luby.sh,0.002793,408
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_8.cnf,wrapper-luby.sh,0.003151,184
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_4.cnf,wrapper-luby.sh,0.003406,245
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_13.cnf,wrapper-glucose.sh,0.004495,225
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_9.cnf,wrapper-glucose.sh,0.001658,104
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_5.cnf,wrapper-glucose.sh,0.004318,485
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_4.cnf,wrapper-glucose.sh,0.001802,37
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_1.cnf,wrapper-glucose.sh,0.00102,135
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_12.cnf,wrapper-glucose.sh,0.001747,147
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_10.cnf,wrapper-glucose.sh,0.002201,23
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_2.cnf,wrapper-glucose.sh,0.001026,98
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_22.cnf,wrapper-glucose.sh,0.003339,259
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_3.cnf,wrapper-glucose.sh,0.001992,89
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_1.cnf,wrapper-glucose.sh,0.002178,97
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_44.cnf,wrapper-glucose.sh,0.003132,242
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_9.cnf,wrapper-glucose.sh,0.003008,143
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_39.cnf,wrapper-glucose.sh,0.002889,259
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_13.cnf,wrapper-glucose.sh,0.006768,632
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_1.cnf,wrapper-glucose.sh,0.00179,129
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_11.cnf,wrapper-glucose.sh,0.002802,55
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_1.cnf,wrapper-glucose.sh,0.002055,109
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_5.cnf,wrapper-glucose.sh,0.00461,484
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_6.cnf,wrapper-glucose.sh,0.004807,344
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_6.cnf,wrapper-glucose.sh,0.005461,445
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_49.cnf,wrapper-glucose.sh,0.004131,578
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_8.cnf,wrapper-glucose.sh,0.003546,185
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_36.cnf,wrapper-glucose.sh,0.003494,354
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_21.cnf,wrapper-glucose.sh,0.004971,561
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_7.cnf,wrapper-glucose.sh,0.006575,606
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_5.cnf,wrapper-glucose.sh,0.002762,137
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_18.cnf,wrapper-glucose.sh,0.003194,374
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_12.cnf,wrapper-glucose.sh,0.005481,652
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_14.cnf,wrapper-glucose.sh,0.004718,660
