formula,solver,runtime,conflicts,entropy,num sols
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_18.cnf,wrapper-glucose.sh,0.003194,374,0.128,16468
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_12.cnf,wrapper-glucose.sh,0.005481,652,0.092,5624
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_14.cnf,wrapper-glucose.sh,0.004718,660,0.112,39484
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_33.cnf,wrapper-glucose.sh,0.003056,431,0.058,244
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_17.cnf,wrapper-glucose.sh,0.000984,34,0.18,6988
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_29.cnf,wrapper-glucose.sh,0.000869,147,0.06,168
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_0.cnf,wrapper-glucose.sh,0.0029,40,0.248,214200
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_41.cnf,wrapper-glucose.sh,0.002356,145,0.07,432
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_16.cnf,wrapper-glucose.sh,0.003041,57,0.21,167770
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_3.cnf,wrapper-glucose.sh,0.00313,449,0.348,4072
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_20.cnf,wrapper-glucose.sh,0.004858,539,0.054,210
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_15.cnf,wrapper-glucose.sh,0.003233,91,0.116,3592
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_16.cnf,wrapper-glucose.sh,0.004128,492,0.14,168670
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_50.cnf,wrapper-glucose.sh,0.003942,563,0.054,140
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_20.cnf,wrapper-glucose.sh,0.004317,575,0.14,70172
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_0.cnf,wrapper-glucose.sh,0.002616,121,0.152,12910
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_37.cnf,wrapper-glucose.sh,0.0029,388,0.064,120
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_32.cnf,wrapper-glucose.sh,0.002879,179,0.068,288
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_20.cnf,wrapper-glucose.sh,0.002456,123,0.21,129184
